record_id,atd_device_id,read_date,intersection_name,direction,movement,heavy_vehicle,volume,speed_average,speed_stddev,seconds_in_zone_average,seconds_in_zone_stddev,month,day,year,hour,minute,day_of_week,bin_duration
e2de8e1918f09b4f916f819a8afc427f,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,RIGHT TURN,False,1,9.0,0.0,0.1,0.0,11,14,2019,22,15,4,900
89076c84a1574add2f236d30a2a2203b,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,False,7,17.0,10.646,3.943,1.748,11,14,2019,22,15,4,900
431a1d3af1c629d5107bc5e5364ed651,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,True,3,13.333,11.93,0.8,1.127,11,14,2019,22,15,4,900
bb62cb9089f8981dd7b3690341900c72,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,LEFT TURN,True,1,13.0,0.0,3.8,0.0,11,14,2019,22,15,4,900
c66f04c6f27b1b3cb9f8457e5e04599b,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,RIGHT TURN,True,2,2.0,2.828,0.2,0.141,11,14,2019,22,15,4,900
cd07bc7b6569b1230897ecd0972df244,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,False,2,1.5,2.121,1.8,2.404,11,14,2019,22,15,4,900
2652a137918a94698e50fb458ac7d69a,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,True,3,4.667,8.083,0.367,0.153,11,14,2019,22,15,4,900
75a09480ef6dbb034207fa843d1ca823,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,False,3,12.0,5.196,17.133,19.432,11,14,2019,22,15,4,900
c0d1c737823a44148fbf77c03e30d8a7,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,True,5,29.6,19.476,2.12,3.611,11,14,2019,22,15,4,900
77ffa3cd70714783ce2cd45ab336ba81,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,RIGHT TURN,False,1,0.0,0.0,2.2,0.0,11,14,2019,22,15,4,900
50fb0f42b64c6552010261233c0306c5,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,RIGHT TURN,True,1,12.0,0.0,3.4,0.0,11,14,2019,22,15,4,900
46331cb54843b31b85c94fcc2149b723,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,False,40,35.975,14.635,0.908,0.905,11,14,2019,22,15,4,900
f5e697420339a12f4959a63d15acf5b0,6197,2019-11-14T22:15:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,True,66,38.455,10.618,0.835,1.058,11,14,2019,22,15,4,900
e39cd761b39aa9108e88a1628e14c210,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,False,5,13.6,8.414,1.32,1.966,11,14,2019,22,30,4,900
2aeed74d21531d84dd474ccd0aa24101,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,True,4,26.5,11.818,0.275,0.15,11,14,2019,22,30,4,900
6db5fbafc7330b9c8f61b51501b5fe29,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,False,3,17.0,5.196,2.8,1.97,11,14,2019,22,30,4,900
b1d881d69736aa94647c37c53fa19351,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,True,5,15.4,4.278,3.88,3.986,11,14,2019,22,30,4,900
0a228e77ff3329b4a12b4f8ca6f1d071,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,False,55,32.255,11.41,1.413,1.037,11,14,2019,22,30,4,900
ff19cb0bde4002cdf77720daab72a419,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,True,29,26.207,13.741,2.034,1.851,11,14,2019,22,30,4,900
00fdfad5a4e5b0c9aff0e85efc0d7ac0,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,LEFT TURN,False,2,13.5,2.121,5.55,2.051,11,14,2019,22,30,4,900
f2f90ad0f922ca12508b2e282576f2d1,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,RIGHT TURN,False,2,8.5,6.364,6.75,5.162,11,14,2019,22,30,4,900
6aee283cae0fe0ea33a0c04a1e63887f,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,False,8,13.25,7.402,7.725,12.367,11,14,2019,22,30,4,900
5a54c49cbea4f5646c08009297150e57,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,True,3,22.0,4.0,2.433,0.586,11,14,2019,22,30,4,900
2bce1e9727c9fc030548b507f724c4e1,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,LEFT TURN,True,3,0.0,0.0,1.067,1.762,11,14,2019,22,30,4,900
6f54af7afe5c924fcc87bf6f892f029e,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,RIGHT TURN,False,1,5.0,0.0,5.5,0.0,11,14,2019,22,30,4,900
c36b0855eb8eacfbc4f238174c23421f,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,False,2,0.0,0.0,0.2,0.141,11,14,2019,22,30,4,900
94cfacecf84a77dbf497cbf719305696,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,SOUTHBOUND,THRU,True,2,0.0,0.0,0.15,0.071,11,14,2019,22,30,4,900
655ad3c19a74e48f783a4e3fc5aee0ff,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,False,47,38.745,13.372,1.151,1.102,11,14,2019,22,30,4,900
e92be84341235736d3e6c0af00868ccb,6197,2019-11-14T22:30:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,THRU,True,62,38.097,11.649,0.924,1.279,11,14,2019,22,30,4,900
97f729c3d4e6ebc34ed569a3f8c633ea,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,False,5,15.8,5.357,0.5,0.324,11,14,2019,22,45,4,900
e2ed1e49ca90aafd23345cecd4420063,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,LEFT TURN,True,4,26.75,12.712,0.675,0.613,11,14,2019,22,45,4,900
57d486a10bbf5bf74c1a083f2e434a10,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,False,4,16.25,4.992,2.25,1.718,11,14,2019,22,45,4,900
6dfcdf2f7f8d0624aeec2403e58bb110,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,RIGHT TURN,True,3,5.0,8.66,1.167,1.677,11,14,2019,22,45,4,900
888a5abbf4fdf1896849dcadfebc37b1,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,False,53,36.226,10.766,1.515,1.604,11,14,2019,22,45,4,900
9cc8ff1a576ea0cda489001f0113753e,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,EASTBOUND,THRU,True,34,33.0,13.48,1.55,1.11,11,14,2019,22,45,4,900
a8ed0d14e11a3d55b125108483d2632f,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,LEFT TURN,False,9,15.556,6.579,4.089,2.273,11,14,2019,22,45,4,900
eab8e41eb7bc410df747766a6682b477,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,False,3,12.0,3.0,2.5,3.208,11,14,2019,22,45,4,900
2bf81147da7b3d8f7da06a5d0f282de0,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,NORTHBOUND,THRU,True,1,25.0,0.0,2.2,0.0,11,14,2019,22,45,4,900
7b0aed8b3a9077fe854b3a1f27fd6669,6197,2019-11-14T22:45:00.000,GROVE BLVD / RIVERSIDE DR,WESTBOUND,LEFT TURN,True,3,19.333,33.486,1.567,1.457,11,14,2019,22,45,4,900
